title,tags,servings,ingredients,ingredient_quantities,steps,rating,review_count
dad's favorite orange salad,"['tropical fruits', 'fruit', 'low protein', 'kid friendly', 'potluck', 'christmas', '< 30 mins', 'refrigerator', 'stove top', 'pineapple']",8.0,"['cool whip', 'mandarin oranges', 'crushed pineapple', 'maraschino cherries']","['1', '1', '2', '1', '2', '1', '1/2']","['in a saucepan, heat apricot nectar just until boiling.', 'in a bowl, combine jello and apricot nectar; stir to dissolve.', 'chill in refrigerator until slightly thickened.', 'add remaining ingredients; stir well.', 'pour into a large dish and refrigerate until set.', 'cut into squares and serve on lettuce leaf.']",5.0,5.0
garlic-crusted cod fish,"['high in...', '< 30 mins', 'oven', 'high protein']",4.0,"['unsalted butter', 'extra virgin olive oil', 'garlic cloves', 'parsley', 'kosher salt', 'fresh ground black pepper', 'egg', 'cod fish fillets', 'lemon wedges']","['1', '2', '6', '1', '1/4', '1/4', '1/4', '1', '2', '4']","['preheat oven to 400 degrees f.', 'heat butter and oil in a saucepan over low heat and add the garlic for one minute to soften, not brown.', 'remove pan from heat and add the bread crumbs, parsley, salt and pepper.', 'mix to moisten the crumbs and seasonings.', 'dredge each fish fillet in the beaten egg first.', 'then dredge each fish fillet into the crumb mixture.', 'place the coated fish fillets in an oiled roasting pan for the oven.', 'bake the fillets in the preheated oven for about 10 to 12 minutes, until the crust is golden brown. the fish inside should be flaky. use a fork to make sure the fish flakes and is done.', 'serve with lemon wedges.']",5.0,21.0
chili chicken with avocado sauce,"['poultry', 'meat', 'very low carbs', '< 30 mins', 'beginner cook', 'easy', 'chicken']",4.0,"['chili powder', 'ground cumin', 'boneless chicken breasts', 'salt', 'cayenne pepper', 'avocado', 'yogurt', 'garlic clove', 'lime juice', 'fresh cilantro', 'salt', 'water', 'olive oil']","['2', '1/2', '4', '1/2', '1', '1', '1/4', '1', '2', '1', '1/2', '1/4', '1']","['sprinkle chicken with cumin, chili powder, salt and a dash of cayenne on each.', 'in a blender or food processor, combine avocado, yogurt, garlic, 1/4 cup water, lime juice, 1/2 tsp salt and cilantro. blend until smooth.', 'in fry pan with lid, brown chicken in olive oil 2 minutes on each side. cover, lower heat and cook until just done, approximately 3 minutes.', 'serve chicken with avocado sauce poured over it.']",5.0,9.0
kochujang sauce,"['korean', 'asian', '< 15 mins', 'sauces']",2.0,"['garlic cloves', 'rice vinegar', 'cider vinegar', 'soy sauce', 'sesame seeds', 'scallions', 'sugar']","['2', '2', '1', '1', '1', '2', '2', '2']","['mix all ingredients together well.', 'keeps a long time in the refrigerator.', 'this recipe also multiplies well.', 'if making kochujang sauce for bi bim bap; double this recipe for 4 servings.', 'i usually quadruple the recipe so i always have some on hand in the fridge.']",5.0,7.0
instant oatmeal packets,"['low cholesterol', 'toddler friendly', 'healthy', 'kid friendly', 'brunch', 'microwave', '< 15 mins', 'beginner cook', 'easy', 'inexpensive', 'breakfast']",1.0,"['quick oats', 'sugar', 'cinnamon', 'sugar', 'sugar', 'cinnamon', 'nutmeg', 'brown sugar', 'raisins']","['1', '1/2', '1', '1/4 - 1/2', '2', '1', '1', '1/4 - 1/2', '1/8', '1', '1']","['put oatmeal into bag.', 'add a dash of salt if desired.', 'to use:.', 'empty packet into a microwave safe bowl.', 'stir in 1 cup water or milk.', 'microwave on high 2 to 3 minutes; stir before serving.']",5.0,12.0
chicken and dumpling soup,"['chicken', 'poultry', 'meat', 'weeknight', '< 60 mins', 'chicken thigh & leg']",6.0,"['flour', 'salt', 'baking powder', 'carrots', 'celery', 'bay leaves', 'garlic cloves', 'basil', 'oregano', 'chicken breasts', 'half-and-half']","['2', '1', '1/2', '3/4', '4', '4', '2', '2', '1/2', '2', '1/2', '1/2', '3', '1/2']","['start out by putting together the dough for your dumplings. mix together the flour, salt and baking powder. then slowly add in your ice water. keep adding it in until you have enough to form a nice dough ball. knead your dough for about 5 minutes and then set it the side and let it rest while you work on the other end of the soup.', 'in a large pot add together your stock, chicken, carrots, celery, garlic, basil, oregano, and celery salt. heat it up on medium heat and let the chicken cook through. when the chicken is cooked, remove it and set it to the side.', 'now grab up your dough and roll it out about 1/4"" thick with your rolling pin. cut it into small squares and place them in your hot broth. as they cook up, they will rise to the top of the broth.', 'while your dumplings are cooking, go ahead and shred your chicken up. add it to your soup. last but not least, add in the half and half and give it a couple swirls around the pan to incorporate everything together.']",4.5,19.0
thai chicken crescent pot sticker sandwiches,"['lunch/snacks', 'chicken breast', 'chicken', 'poultry', 'cheese', 'vegetable', 'meat', 'asian', 'savory', 'brunch', '< 60 mins', 'oven', 'beginner cook', 'easy', 'one dish meal']",4.0,"['plain yogurt', 'sour cream', 'peanut butter', 'curry powder', 'ginger', 'garlic powder', 'soy sauce', 'carrots', 'monterey jack cheese', 'mango chutney']","['2', '1', '2', '1', '1/2', '1 1/2', '1', '1 1/2', '4', '1', '1/2']","['heat oven to 375°f.', 'spray cookie sheet with nonstick cooking spray. in large bowl, combine yogurt, peanut butter, curry powder, ginger, garlic powder and soy sauce and mix well. add chicken, carrots and cheese and mix well.', 'separate dough into 4 rectangles. place on sprayed cookie sheet. firmly press perforations to seal and press each rectangle to form 5-inch square.', 'spoon chicken mixture onto squares. bring 4 corners of each dough square up over the filling and press edges to seal.', 'bake at 375°f for 15 to 20 minutes or until golden brown.', 'meanwhile, heat chutney in small saucepan over low heat until hot, stirring occasionally. serve chutney with sandwiches.']",5.0,6.0
garlic roast beef sandwiches,"['meat', 'very low carbs', '< 15 mins', 'beginner cook', 'easy', 'lunch/snacks']",6.0,"['fresh mushrooms', 'onion', 'garlic', 'butter', 'worcestershire sauce', 'deli roast beef', 'colby cheese']","['1', '1/2', '2/3', '1', '4', '1', '1', '6']","['bake garlic gread according to package directions.', 'meanwhile; in a large skillet, saute the mushrooms, onion, and garlic in butter until vegetables are tender.', 'stir in worcestershire sauce.', 'layer each half of garlic bread with roast beef, mushroom mixture and cheese.', 'return to oven.', 'bake 1 or 2 minutes longer or until cheese is melted.', 'slice and serve immediately.']",5.0,5.0
roast kalau pork,"['meat', 'very low carbs', 'high protein', 'high in...', 'weeknight', 'roast', 'oven', 'easy', 'pork']",8.0,"['soy sauce', 'fresh ginger', 'garlic', 'liquid smoke']","['5', '3/4', '2', '2', '1/2']","['line roasting pan with foil going in both directions so that it is very nearly tight.', 'put pork in pan.', 'combine the remaining ingredients and pour over pork.', 'roast pork in covered pan in a 325° oven for 3 to 4 hours.', 'shred and serve with roasting juices.']",5.0,10.0
cinnamon bun popcorn,"['corn', 'vegetable', 'kid friendly', '< 15 mins', 'easy', 'lunch/snacks']",4.0,"['butter', 'brown sugar', 'cinnamon']","['1', '2', '1', '1']","['pop popcorn.', 'melt butter and add brown sugar to butter, mix well with a spoon.', 'spoon over popcorn.', 'sprinkle with cinnamon.', 'toss and eat.']",5.0,23.0
extra cheesy crescent mozzarella wedges,"['cheese', 'high protein', 'high in...', '< 30 mins', 'beginner cook', 'easy', 'lunch/snacks']",8.0,"['butter', 'garlic powder', 'mozzarella cheese']","['1', '1', '1/4 - 1/2', '2']","['separate crescent dough into eight triangles; place on a greased 12 inch round pizza pan with points toward the center.', 'press dough onto the bottom and up the sides of the pan making sure to seal the perforations.', 'brush with butter; sprinkle with garlic powder and cheese.', 'bake at 375 degree oven for 15-17 minutes or until crust is golden brown and cheese is lightly browned.', 'cut into wedges and serve warm.']",5.0,69.0
slow cooker lamb stew,"['yam/sweet potato', 'lamb/sheep', 'potato', 'vegetable', 'meat', 'healthy', 'potluck', 'savory', 'easy', 'inexpensive', 'stew']",6.0,"['sweet potatoes', 'onion', 'raisins', 'cumin', 'salt', 'cayenne', 'lamb stew meat', 'diced tomatoes', 'chickpeas', 'fresh cilantro']","['1 1/2', '1', '1/3', '1', '1/2', '1/8', '1 1/2', '1', '1', '2']","['in 4 quart crock pot, layer potatoes, onion, and raisins.', 'in a bowl, combine cumin, salt, and cayenne.  add lamb and toss to coat.', 'place lamb on top of potatoes.  add tomatoes with juice.', 'cover and cook for 8-10 hours on low.', 'stir in chickpeas during the last 5 minutes of cooking.', 'serve sprinkled with cilantro.']",5.0,6.0
hot dogs and sauerkraut,"['egg free', 'toddler friendly', 'kid friendly', 'free of...', 'potluck', 'savory', '< 30 mins', 'beginner cook', 'easy', 'one dish meal']",4.0,['sauerkraut'],"['8', '28']","['in a large skillet add the sauerkraut. place hot dogs on top of the kraut.', 'cover and let simmer 15-20 minutes or until hot dogs are plump and hot.', 'serve over mashed potatoes.']",5.0,24.0
marinated feta,"['refrigerator', 'beginner cook', 'easy', 'cheese']",6.0,"['garlic clove', 'rosemary', 'thyme leaves', 'oregano leaves', 'red bell pepper', 'black olives', 'olive oil', 'feta', 'baguette']","['1', '1', '1/2', '1/2', '1/4', '4', '1/2', '400', '1']","['mix all the ingredients for the marinade.', 'put cubed feta and marinade into a shallow plastic container with a tight fitting lid. cover with the lid and marinate in the fridge for 24 hours or more. turn the container lid-side down after a few hours to make sure the feta gets marinated evenly. you may want to turn your container a few times. (the olive oil may thicken in the fridge, but turn into liquid again at room temperature).', 'serve:you may want to stick a toothpick into every feta cube or just serve it as it is. serve with (toasted) slices of baguette.']",5.0,8.0
baked potato casserole #sp5,"['vegetable', '< 60 mins', 'easy', 'potato']",6.0,"['fat free sour cream', 'unsalted butter', 'sharp cheddar cheese', 'green onions']","['1', '1', '1/2', '2 1/2', '2']","['set out sour cream to reach room temperature.', 'butter rectangular glass casserole dish.', 'melt butter and cheese together in microwave.', 'chop 2 bunches of  green onions.', 'put simply shredded hash brown potatoes in glass casserole dish.', 'combine room temp sour cream with melted butter and cheese and pour over potatoes.', 'add chopped green onions, salt and pepper to taste.', 'toss potatoes and added ingredients with a fork until coated, leaving a rustic, not whipped look.', 'bake in 350 degree oven for 30 minutes or until golden on top.', 'if you are lucky enough for leftovers, makes great potato pancakes for breakfast.']",5.0,6.0
jicama slaw with jalapeno dressing,"['peppers', 'vegetable', 'brunch', '< 4 hours', 'easy', 'onions']",6.0,"['jicama', 'bell peppers', 'red onion', 'fresh cilantro', 'red wine vinegar', 'minced garlic clove', 'splenda sugar substitute', 'sugar']","['2', '1 1/2', '1', '1/4', '1/3', '2', '1', '1', '1']","['shake together the dressing ingredients in a screw-top jar or whisk it together in a small bowl.', 'combine the jicama strips, pepper strips and onion slices in a large bowl and pour the jalepeno dressing over jicama mixture, tossing to coat,.', 'cover and chill at least 1 hour, up to 6 hours, stirring occasionally.']",5.0,6.0
grilled herbed vegetables,"['corn', 'onions', 'peppers', 'vegetable', 'vegan', 'broil/grill', '< 30 mins', 'oven', 'cauliflower']",4.0,"['olive oil', 'garlic', 'dried rosemary', 'dried basil', 'salt']","['1', '1', '2', '1/4', '4']","['in a medium mixing bowl combine the olive oil, garlic, rosemary or basil, and the salt.', 'add the vegetables to oil mixture, tossing to coat.', 'spoon vegetable mixture onto a 24x12-inch piece of heavy foil.', 'bring opposite edges of foil together; seal tightly with a double fold.', 'fold in remaining ends to completely enclose vegetables, leaving a little space for steam to build.', 'grill the vegetable packet on a grill rack directly over medium-hot coals about 20 minutes or until vegetables are tender, turning the packet over halfway through the cooking time.', '(or, bake vegetables in a 350 degree oven about 25 minutes or until tender.) season vegetables to taste with pepper.', 'makes 4 side-dish servings.']",5.0,9.0
nordic moon ranch's most excellent ground lamb,"['lamb/sheep', 'meat', 'asian', 'indian', 'very low carbs', 'winter', '< 30 mins', 'curries']",6.0,"['ground lamb', 'onion', 'olive oil', 'curry powder', 'red wine', 'beef broth', 'tomato paste', 'garlic', 'salt', 'red pepper flakes', 'ground cumin']","['1 1/2', '1', '2', '2', '3/4', '4', '2', '1', '1/8 - 1/4', '1/2']","['in a large, preheated heavy skillet over medium heat, brown lamb evenly.', 'drain of all fat.', 'in same skillet, saute onion in olive oil until soft.', 'using mortar and pestal, grind garlic to a paste with the salt.', 'add paste to onions in skillet.', 'stir in curry powder and red pepper flakes if used.', 'return lamb to skillet and add tomato paste and broth or wine.', 'reduce heat and let simmer for 10 to 20 minutes, or until flavors have blended and liquids are thickened.']",5.0,19.0
smashed potato-broccoli casserole,"['vegetable', 'low cholesterol', 'healthy', 'free of...', 'oven', '< 4 hours', 'easy', 'inexpensive', 'potato']",4.0,"['potato', 'broccoli', 'fat-free cottage cheese', 'dill weed', 'salt', 'pepper', 'fat free sour cream', 'cheddar cheese']","['1', '1', '1/4', '1/4', '1/4', '1/4', '1/8', '1/2', '1 1/2']","['quarter potatoes, cover with water and bring to a boil. reduce heat; simmer 20 minutes or until tender.', 'drain potatoes, reserving 3/4 cup of cooking liquid.', 'return potatoes and reserved liquid to pan; mash with a potato masher until slightly chunky.', 'add broccoli, onion, cottage cheese, dill weed, salt, pepper and sour cream.', 'spoon mixture into sprayed casserole dish.', 'bake at 375 for 35 minutes. sprinkle with cheese and bake 5 minutes longer.']",5.0,7.0
caramelized french toast with vanilla pears - oh my!,"['dessert', 'pears', 'fruit', 'low protein', 'sweet', 'brunch', '< 30 mins', 'stove top', 'breakfast']",4.0,"['butter', 'bartlett pears', 'brown sugar', 'vanilla', 'eggs', 'half-and-half', 'sugar', 'cinnamon', 'brown sugar']","['4', '3', '1/4', '1 1/2', '2', '2/3', '1', '1/4', '4', '4']","['melt 2 tbls of the butter in a skillet.', 'add pears, 1/4 cup of brown sugar and 1/2 tsp of the vanilla.', 'simmer until tender, about 2-3 minutes.', 'remove from heat and transfer the pears onto a plate.', 'let them stand a couple minutes to drain, then pour into juices back into the skillet.', ""using medium-high heat, cook the juices another 4-5 minutes (don't stop stirring!) until they are thick and caramelized."", 'remove from heat.', 'beat eggs, half-and-half, sugar, 1 tsp vanilla and cinnamon in a shallow pan.', 'add the bread slices and let them soak for 2 minutes.', 'then turn the slices over and let them soak another 2 minutes.', 'melt 2 tbls butter in large skillet.', 'sprinkle 1/2 tbls of brown sugar on each side of the bread.', 'cook over medium high heat about 2-3 minutes per side until crisp.', 'place the bread on plates and top with a couple pears, the carmel sauce and some vanilla ice cream if desired.', 'enjoy!']",4.5,5.0
tomato and marinated baby bocconcini appetizers,"['australian', '< 30 mins', 'easy', 'cheese']",8.0,"['olive oil', 'dried basil', 'bocconcini', 'rocket', 'cherry tomatoes']","['1/3', '4', '1', '16', '16', '8', '16']","['combine the oil, vinegar and basil in a medium bowl. add the cheese and toss to coat in the marinade. cover and refrigerate for at least 30 minutes.', 'drain cheese and discard the marinade.', 'wrap each cheese in a piece of rocket.(the larger rocket leaves work best ). place on top of a tomato half and spear with a toothpick.']",5.0,7.0
lighthearted fettuccine alfredo,"['cheese', 'healthy', '< 30 mins', 'stove top', 'spaghetti']",4.0,"['fettuccine', 'spaghetti', 'low fat cottage cheese', 'parmesan cheese', 'low-fat milk', 'egg', 'nutmeg', 'pepper', 'fresh parsley', 'basil']","['1/2', '1', '1/4', '1/4', '1', '1/4', '1/4', '1/2']","['in a large pot of boiling water, cook fettuccine until tender but firm; drain and return to saucepan.', 'meanwhile, in a food processor, process cottage cheese until smooth.', 'add parmesan cheese, milk, egg, nutmeg, and pepper; blend until smooth.', 'pour into saucepan with hot cooked pasta; cook over medium heat for 1 minute, stirring constantly.', 'sprinkle with parsley or basil.', 'serve immediately.']",4.5,18.0
oven-fried chicken,"['chicken thigh & leg', 'chicken', 'poultry', 'meat', 'very low carbs', 'high protein', 'high in...', 'oven', 'beginner cook', '< 4 hours', 'easy', 'chicken breast']",6.0,"['chicken pieces', 'corn', 'fresh parsley', 'yogurt', 'garlic clove', 'worcestershire sauce']","['2  - 2 1/2', '1/4', '1', '1/3', '1', '2', '1']","['rinse chicken and pat dry.', 'place on a shallow rack and set aside.', 'in a small bowl combine cornflake crumbs and parsley and set aside.', 'in another small mixing bowl, combine yogurt, garlic, worcestershire sauce and pepper.', 'brush chicken with yogurt mixture, then sprinkle with flakes.', 'bake uncovered at 375 degrees f. for an hour or until chicken is tender and no longer pink.']",4.5,5.0
green beans with caramelized onions,"['low protein', 'low cholesterol', 'healthy', 'spicy', 'savory', '< 30 mins', 'vegetable']",6.0,"['butter', 'onion', 'light brown sugar', 'kosher salt', 'fresh green beans']","['2', '1', '2', '1/2', '1/2', '1 1/2']","['in skillet, melt 1 t butter over medium heat.', 'add onion; cook, stirring occasionally, until starting to brown, 7-10 minutes.', 'add sugar, salt and cajun seasoning.', 'reduce heat to medium-low; cook, stirring often, until onion is soft and golden brown, 5 minutes.', 'meanwhile, bring large pot of salted water to boil.', 'add green beans; cook until tender, 4-5 minutes.', 'drain well, then add to onion with remaining 1 t butter.', 'cook, stirring, until heated through, 1 minute.']",5.0,5.0
maggie's super healthy cilantro lime chicken salad pita sandwich,"['chicken', 'poultry', 'meat', 'healthy', '< 15 mins', 'no cook', 'easy', 'lunch/snacks']",4.0,"['cilantro', 'lime', 'cucumber', 'tomatoes', 'garlic cloves', 'dried oregano', 'ground black pepper', 'extra virgin olive oil']","['1', '10', '1/2', '1/4', '1', '2', '1/4', '1/4', '1/2', '4 -8']","['combine all ingredients in a medium bowl.', 'refrigerate an hour or so, if desired. this is optional but does help the flavors set.', ""spoon mixture into 1 or 2 pita pocket halves, depending on how stuffed you'd like them.""]",5.0,11.0
"easy sausage, potato, cheese breakfast casserole","['brunch', '< 60 mins', 'oven', 'breakfast']",8.0,"['pork sausage', 'potatoes', 'butter', 'seasoning salt', 'black pepper', 'eggs', 'mild cheddar cheese']","['1', '20', '1', '1', '1', '12', '8']","['preheat oven to 350 degrees.', 'lightly grease a medium baking dish.', 'cook and stir sausage in a medium skillet over medium heat until evenly browned and broken up.', 'remove sausage to a separate plate.', 'add  the butter to the same skillet and replace over medium heat.', 'add the package of diced potatoes.', 'cook and stir until lightly browned and slightly crispy on the outside.', 'place the potatoes in the prepared baking dish.', 'sprinkle with half of the seasoning salt and pepper.', 'cover with the sausage.', 'sprinkle the cheese over all.', 'pour the eggs over the top.', 'finish with the rest of the seasoning salt and pepper.', 'bake 30 minutes in the preheated oven, or until the eggs are fully cooked.', 'if the dish has been refrigerated and is cold, it can take up to an hour to bake.']",4.5,9.0
oriental hamburger dish,"['meat', 'chinese', 'asian', 'kid friendly', 'potluck', '< 30 mins', 'stove top', 'easy', 'vegetable']",4.0,"['ground beef', 'onion', 'green pepper', 'mushroom pieces', 'water', 'cornstarch', 'soy sauce']","['1', '1', '1/3', '1', '1', '2', '1/4']","['brown ground beef, add onion, green pepper, and mushrooms.', 'cook for 5 minutes.', 'mix water, cornstarch, and soy sauce.', 'stir into meat mixture until smooth and thickened.']",4.5,12.0
bean &amp; bacon soup,"['onions', 'vegetable', 'european', 'brunch', '< 60 mins', 'beginner cook', 'easy', 'stocks']",4.0,"['olive oil', 'lardons', 'streaky bacon', 'onion', 'garlic clove', 'celery', 'carrot', 'chopped tomatoes', 'butter beans', 'haricot beans', 'basil']","['2', '120', '1', '1', '1', '1', '400', '700', '400', '10']","['heat the oil and add the bacon and cook until the fat begins to run.', ""then add the chopped onion, garlic, celery,carrot, and cook for 5 min's med heat."", ""then add tomatoes and stock and bring to the boil and simmer for 20min's"", 'stir in the beans and reheat until boiling', 'add seasoning and chopped basil and serve with some nice crusty bread.']",5.0,5.0
crazy orange-marmalade chicken,"['chicken', 'poultry', 'meat', '< 4 hours', 'easy', 'chicken breast']",8.0,"['boneless skinless chicken breasts', 'sugar-free orange marmalade']","['8', '1', '1', '1']","['preheat oven to 350 degrees.', 'place chicken in a glass or ceramic baking dish.', 'mix last 3 ingredients and pour over chicken.', 'marinate at least 2 hours in the refrigerator but no more than 24 hours.', 'bake until chicken is tender, approximately 1 1/2 hours.', 'this recipe makes a delicious sauce for rice.']",5.0,12.0
greek chickpea &amp; tuna pitas,"['vegetable', 'greek', 'european', '< 15 mins', 'beginner cook', 'easy', 'inexpensive', 'lunch/snacks']",4.0,"['olive oil', 'lemon juice', 'garlic clove', 'oregano', 'marjoram', 'salt', 'black pepper', 'dry mustard', 'chickpeas', 'tuna', 'parsley', 'celery', 'scallions']","['1/3', '3', '1', '1', '1', '1/2 - 1', '1/2 - 1', '1/4', '0.5', '1', '1', '1', '3 -4', '4']","['mix the ingredients together for the dressing, set aside.', 'stir the chickpeas, tuna, parsley, celery, & scallions together in a bowl. pour over the dressing, mix well.', 'stuff each pita with equal amounts of the tuna mixture.']",5.0,5.0
vanilla pudding fruit salad,"['dessert', 'lunch/snacks', 'pineapple', 'tropical fruits', 'fruit', 'nuts', 'caribbean', 'low protein', 'vegan', 'low cholesterol', 'healthy', 'kid friendly', 'potluck', 'spring', 'summer', 'winter', '< 60 mins', 'no cook', 'refrigerator', 'easy', 'inexpensive', 'breakfast']",10.0,"['bananas', 'apples', 'lemon', 'pineapple tidbits', 'strawberries', 'grapes', 'pecans', 'sugar-free instant vanilla pudding mix', 'sugar-free instant vanilla pudding mix', 'water']","['2', '2', '1', '1', '2', '2', '1/4', '1', '1/2']","['combine bananas, apples and lemon juice in large mixing bowl.', 'toss until evenly coated.', 'add pineapple, strawberries, grapes and pecans.', 'in small mixing bowl, combine pudding mix, water and pineapple juice with a wire whisk until smooth.', 'add pudding mixture to fruit.', 'mix gently until throughly coated.', 'refrigerate until ready to serve.']",5.0,88.0
polynesian coleslaw,"['peanut butter', 'polynesian', 'low protein', 'low cholesterol', '< 30 mins', 'easy', 'vegetable']",8.0,"['creamy peanut butter', 'vinegar', 'soy sauce', 'garlic', 'salt', 'tabasco sauce', 'purple cabbage', 'green cabbage', 'fresh cilantro', 'scallions', 'sesame seeds']","['3', '2', '2', '1', '1/2', '1/8', '8', '1/2', '1', '4', '2']","['in large bowl stir together peanut butter, vinegar, soy sauce, garlic, salt and hot sauce.', 'stir in cabbage, cilantro, red pepper and scallions.', 'refrigerate one hour.', 'heat dry skillet over medium heat.', 'add sesame seeds; cook, stirring, until lightly browned, about 3- 4 minutes.', 'remove from skillet, and sprinkle over coleslaw.']",4.5,6.0
baked hoisin sauce chicken wings,"['poultry', 'meat', 'cantonese', 'chinese', 'asian', '< 60 mins', 'easy', 'chicken']",4.0,"['chicken wings', 'honey', 'hoisin sauce', 'warm water', 'salt', 'black pepper', 'garlic cloves', 'scallion', 'fresh ginger']","['16', '2', '6', '3', '1', '1/2', '2', '1', '1']","['preheat oven to 350°.', 'marinate chicken wings for 15 minutes in a mixture of honey, hoisin sauce, water, salt, pepper, garlic, scallion, and ginger.  place chicken wings on a baking pan line with alum foil and bake for 30 minutes, brushing occasionally with marinade.  turn oven to broil and broil chicken wings five more minutes.  turn wings every two minutes to avoid burning.', 'to serve, transfer chicken wings to a serving platter and serve hot or at room temperature.']",4.5,5.0
egg sandwich,"['lunch/snacks', 'european', 'brunch', '< 30 mins', 'easy', 'inexpensive', 'breakfast']",2.0,"['olive oil', 'eggs', 'english muffin', 'garlic', 'parmesan cheese', 'salt', 'pepper']","['1', '2', '1', '1/2', '1', '3', '1', '1']","['heat marinara sauce in microwave until warmed, or heat in sauce pot until warmed.', 'drain sauce, in paper toweled colander to get extra juice out of sauce. set aside.', 'in a heavy small skillet over medium heat, warm olive oil.', 'gently crack each egg into warmed skillet.', 'add dash of salt and pepper.', 'cover skillet and cook until the whites are cooked.', 'toast muffins and while still warm, rub the garlic on muffin and add parmesan cheese.', 'add 1 to 2 tablespoons of sauce as desired.', 'place cooked egg carefully atop the sauce covered toasted english muffin.', 'serve immediately.']",5.0,18.0
caribbean spiced roast chicken,"['chicken', 'poultry', 'meat', 'caribbean', '< 4 hours', 'whole chicken']",4.0,"['fresh lime juice', 'rum', 'brown sugar', 'cayenne pepper', 'ground cloves', 'cinnamon', 'ground ginger', 'black pepper', 'salt', 'dried thyme leaves', 'roasting chicken']","['1 1/2', '2', '1', '1/4', '1/4', '1/2', '1/2', '1', '1/2', '1/2', '1 -3', '1']","['preheat oven to 325 f or 165°c.', 'in a small bowl combine lime juice,rum and brown sugar. set aside.', 'mix together all the spices. place chicken in a roasting pan and brush   with the oil then rub in the spice mixture.', 'while chicken is roasting baste with the juice, rum ,sugar mixture every 15 -20 minutes.', 'roast for about 90 minutes or until meat thermometer reads 180 when placed in the thickest part of the thigh or juice run clear.', 'allow to rest for 10 minutes before carving.']",5.0,7.0
thai chicken with basil and coconut milk,"['chicken', 'poultry', 'meat', 'asian', '< 30 mins', 'chicken breast']",4.0,"['boneless skinless chicken breast', 'onion', 'red chilies', 'fresh basil', 'fish sauce', 'sugar', 'coconut milk']","['1', '1', '1', '2', '1', '2', '1', '1 1/2', '13 1/2']","['heat oil in wok or deep pan.', 'cook onions and chilies until soft.', 'add chicken and stir fry until tender. add basil, fish sauce, cilantro and sugar. cook for 1 minute.', 'add coconut milk and heat through.', 'serve with white sticky rice.']",5.0,14.0
rosemary zucchini soup,"['rice', 'onions', 'vegetable', '< 60 mins', 'stove top', 'small appliance', 'easy', 'long grain rice']",6.0,"['extra virgin olive oil', 'celery', 'onion', 'garlic cloves', 'fennel seeds', 'salt', 'pepper', 'zucchini', 'fresh rosemary', 'long-grain rice', 'rice vinegar', 'lemon juice']","['2', '2', '1', '3', '2', '1/2', '1/2', '3', '1 1/2', '2 1/2', '3', '1 1/2']","['in a large saucepan, heat oil over medium heat.  fry celery, onion, garlic, fennel seeds, salt and pepper, stirring, occasionnally, for 5 minutes or until softened.', 'stir in zucchini and rosemary; cook for 6 minutes.', 'add stock, 2 cups water and rice.  bring to boil.  reduce heat, cover and simmer, stirring often, for about 20 minutes or until rice is tender.  stir in rice vinegar; let cool slightly.', 'in batches in blender or food processor, purée soup until smooth.  (make-ahead : let cool for 30 minutes; refrigerate in airtight container for up to 2 days.)  reheat in clean saucepan.']",4.5,7.0
ginger scented honey hoisin chicken thighs with sesame,"['chicken', 'poultry', 'rice', 'meat', 'chinese', 'asian', 'healthy', '< 60 mins', 'chicken thigh & leg']",4.0,"['boneless skinless chicken thighs', 'soy sauce', 'honey', 'hoisin sauce', 'chicken broth', 'fresh ginger', 'pepper', 'toasted sesame seeds', 'cooked brown rice', 'scallion']","['8', '1', '1/4', '1/4', '1/4', '1/4', '2', '1/2', '1/4', '4', '1/4']","['in large skillet over medium high heat, place cooking oil. add chicken and sauté until browned, about 3-4 minutes per side.', 'in a small saucepan, mix together soy sauce, honey, hoisin sauce, chicken broth, ginger and pepper. bring mixture to a boil and simmer to reduce sauce, about 5 minutes.', 'pour sauce over chicken, turning to coat. place chicken in 325° f oven. bake about 10 minutes or until internal temperature of chicken registers 165°f stir in sesame seeds.', 'place hot rice on serving platter, add chicken and sauce and garnish with scallions.']",5.0,14.0
caribbean ginger tomato soup,"['vegetable', 'caribbean', 'vegan', '< 15 mins', 'beginner cook', 'easy', 'inexpensive', 'lunch/snacks']",4.0,"['canned unsweetened coconut milk', 'fresh ginger']","['1', '1 1/2', '1']","['stir together soup, coconut milk and ginger in heavy, medium-size saucepan.', 'bring to boiling over medium heat, stirring often.', 'season with salt and pepper.serve hot.']",5.0,6.0
afro dog,"['very low carbs', 'high protein', 'high in...', '< 30 mins', 'easy', 'meat']",6.0,"['ground beef', 'red pepper flakes', 'cumin', 'chili powder', 'salt', 'black pepper']","['1', '1', '1', '1', '1', '1', '1/2']",['combine all ingredients. divide beef into 6 portions. shape each portion in the shape of a hot dog. wrap each in plastic wrap and freeze until ready to cook. cook in boiling water until firm. remove and brown in skillet. serve like a hot dog with your favorite condiments.'],5.0,6.0
sunrise parfait (sbd),"['strawberry', 'grains', 'berries', 'fruit', 'kid friendly', 'sweet', 'brunch', '< 15 mins', 'easy', 'breakfast']",2.0,['strawberry'],"['1', '1', '1/2']","['layer the sliced strawberries, yogurt and cereal in 2 stemmed dessert glasses.', 'serve right away, enjoy.']",5.0,6.0
